state,county,lat,lon,population
CO,Fremont,38.4269,-105.2143,48939
CO,Garfield,39.5071,-107.5490,61685
CO,Gilpin,39.8561,-105.4832,5808
CO,Grand,40.0511,-105.9785,15717
CO,Gunnison,38.6600,-106.9444,16918
CO,Hinsdale,38.0026,-107.2987,788
CO,Huerfano,37.6125,-104.8876,6820
CO,Jackson,40.6902,-106.2955,1379
CO,Jefferson,39.7237,-105.1303,582910
CO,Kiowa,38.4701,-102.7010,1446
CO,Kit Carson,39.3104,-102.4620,7087
CO,La Plata,37.2660,-107.8039,55638
CO,Lake,39.2448,-106.3075,7436
CO,Larimer,40.5044,-105.0892,359066
CO,Las Animas,37.1921,-104.5013,14555
CO,Lincoln,39.1800,-103.6142,5675
CO,Logan,40.6403,-103.1860,21528
CO,Mesa,39.0929,-108.5467,155703
CO,Mineral,37.7791,-106.9421,865
CO,Moffat,40.5161,-107.6140,13292
CO,Montezuma,37.3719,-108.5545,25849
CO,Montrose,38.4813,-107.9223,42679
CO,Morgan,40.2542,-103.7891,29111
CO,Otero,38.0232,-103.6558,18690
CO,Ouray,38.1460,-107.7519,4874
CO,Park,39.3057,-105.6254,17390
CO,Phillips,40.5994,-102.3859,4530
CO,Pitkin,39.2318,-106.9087,17358
CO,Prowers,38.0830,-102.5486,11999
CO,Pueblo,38.2658,-104.6470,168162
CO,Rio Blanco,40.0511,-108.2687,6529
CO,Rio Grande,37.6118,-106.2421,11539
CO,Routt,40.4555,-106.8974,24829
CO,Saguache,37.9253,-106.0061,6368
CO,San Juan,37.8019,-107.6736,705
CO,San Miguel,37.9718,-107.9581,8072
CO,Sedgwick,40.9622,-102.3257,2404
CO,Summit,39.5724,-106.0557,31055
CO,Teller,38.9448,-105.1399,24710
CO,Washington,40.0983,-103.1571,4817
CO,Weld,40.3224,-104.8070,328981
CO,Yuma,40.0658,-102.4808,9988
CT,Fairfield,41.2060,-73.3672,957419
CT,Hartford,41.7612,-72.7179,899498
CT,Litchfield,41.7270,-73.1904,185186
CT,Middlesex,41.4790,-72.5716,164245
CT,New Haven,41.3966,-72.9423,864835
CT,New London,41.4433,-72.0975,268555
CT,Tolland,41.8423,-72.3730,149788
CT,Windham,41.8051,-71.9935,116418
DC,District of Columbia,38.9102,-77.0140,689545
DE,Kent,39.1271,-75.5591,181851
DE,New Castle,39.6789,-75.6353,570719
DE,Sussex,38.6618,-75.3315,237378
FL,Alachua,29.6647,-82.3916,278468
FL,Baker,30.2864,-82.1845,28259
FL,Bay,30.2128,-85.6706,175216
FL,Bradford,29.9499,-82.1283,28303
FL,Brevard,28.2251,-80.6909,606612
FL,Broward,26.1354,-80.2270,1944375
FL,Calhoun,30.4643,-85.1258,13648
FL,Charlotte,26.9538,-82.1173,186847
FL,Citrus,28.8656,-82.4552,153843
FL,Clay,30.0878,-81.8005,218245
FL,Collier,26.2037,-81.6926,375752
FL,Columbia,30.1220,-82.6645,69698
FL,DeSoto,27.1868,-81.8705,33976
FL,Dixie,29.6346,-83.0587,16759
FL,Duval,30.2986,-81.6204,995567
FL,Escambia,30.4857,-87.2771,321905
FL,Flagler,29.5215,-81.2221,115378
FL,Franklin,29.7860,-84.8132,12451
FL,Gadsden,30.5936,-84.5717,43826
FL,Gilchrist,29.7053,-82.8081,17864
FL,Glades,26.8970,-81.1896,12126
FL,Gulf,29.9556,-85.2597,14192
