domain,org,city,state,type,qid,website
townofoakmont.org,Oakmont,Montgomery County,MD,Special district,Q7074182,http://www.townofoakmont.org/
pierce.ctc.edu,Pierce College,Washington,WA,Special district,Q7191780,https://www.pierce.ctc.edu/
rsccd.edu,Rancho Santiago Community College District,Santa Ana,CA,Special district,Q7291321,http://www.rsccd.edu/
rccd.edu,Riverside Community College District,California,CA,Special district,Q7338455,http://rccd.edu/pages/newsplash.aspx
sbccd.cc.ca.us,San Bernardino Community College District,San Bernardino,CA,Special district,Q7413428,http://www.sbccd.cc.ca.us/
smccd.edu,San Mateo County Community College District,San Mateo County,CA,Special district,Q7414902,http://smccd.edu/
seattlecolleges.edu,Seattle Community College District,Seattle,WA,Special district,Q7442085,https://seattlecolleges.edu
alamo.edu,Alamo Colleges District,San Antonio,TX,Special district,Q7712972,http://www.alamo.edu/
unifiedfire.org,Unified Fire Authority,Salt Lake County,UT,Special district,Q7884928,http://www.unifiedfire.org
ridetherapid.org,The Rapid,Michigan,MI,Special district,Q14716158,https://ridetherapid.org
clpccd.cc.ca.us,Chabot–Las Positas Community College District,Alameda County,CA,Special district,Q16257017,http://www.clpccd.cc.ca.us/
iid.com,Imperial Irrigation District,Imperial County,CA,Special district,Q16985775,https://www.iid.com
mercedid.com,Merced Irrigation District,Merced,CA,Special district,Q102360891,http://www.mercedid.com/
wvm.edu,West Valley–Mission Community College District,Santa Clara County,CA,Special district,Q106232375,https://wvm.edu/
sjeccd.edu,San Jose Evergreen Community College District,San Jose,CA,Special district,Q106253466,https://www.sjeccd.edu/
mwdoc.com,Municipal Water District of Orange County,Municipal Water District of Orange,CA,Special district,Q107203537,https://www.mwdoc.com/
pidwater.com,Paradise Irrigation District,Butte County,CA,Special district,Q107254202,https://www.pidwater.com/
bbmwd.com,Big Bear Municipal Water District of San Bernardino County,Big Bear Municipal Water District of San Bernardino,CA,Special district,Q107654174,https://www.bbmwd.com/
kaneforest.com,Forest Preserve District of Kane County,Forest Preserve District of Kane,IL,Special district,Q112416758,https://kaneforest.com/
tulareid.org,Tulare Irrigation District,Tulare County,CA,Special district,Q114059288,https://tulareid.org/
subutil.com,Springfield Utility Board,Oregon,OR,Special district,Q114835124,https://www.subutil.com
epud.org,Emerald People's Utility District,Emerald People's,OR,Special district,Q117217780,https://www.epud.org
scwrd.org,Sangamon County Water Reclamation District,Springfield,IL,Special district,Q117288736,https://www.scwrd.org/
blachlylane.coop,Blachly-Lane Electric Cooperative,Oregon,OR,Special district,Q125144492,https://www.blachlylane.coop
homesforgood.org,Homes for Good Housing Agency,Lane County,OR,Special district,Q131560742,https://www.homesforgood.org/
oneshoreline.org,OneShoreline,San Mateo County,CA,Special district,Q131673307,https://oneshoreline.org/
lcrda.org,Leon County Research and Development Authority,Leon County,FL,Special district,Q131690209,https://lcrda.org
cpi.coop,"Consumers Power, Inc.",Oregon,OR,Special district,Q135236231,https://cpi.coop
laneelectric.com,Lane Electric Cooperative,Oregon,OR,Special district,Q139763134,https://www.laneelectric.com
southwaltonmosquitocontrol.org,South Walton County Mosquito Control District,Walton County,FL,Special district,Q140432137,https://www.southwaltonmosquitocontrol.org
chicagoparkdistrict.com,Chicago Park District,Chicago,IL,Special district,Q2963322,https://www.chicagoparkdistrict.com/
ebparks.org,East Bay Regional Park District,East Bay Regional,CA,Special district,Q4116375,https://www.ebparks.org/
andersonparks.com,Anderson Park District,Anderson,OH,Special district,Q4754143,https://andersonparks.com/
champaignparks.org,Champaign Park District,Champaign,IL,Special district,Q5069913,https://champaignparks.org/
clevelandmetroparks.com,Cleveland Metroparks,Cuyahoga County,OH,Special district,Q5132190,http://www.clevelandmetroparks.com/
eriemetroparks.org,Erie MetroParks,Erie County,OH,Special district,Q5388326,http://eriemetroparks.org/
metroparks.org,Five Rivers MetroParks,Dayton metropolitan area,OH,Special district,Q5456114,https://www.metroparks.org/
loraincountymetroparks.com,Lorain County Metro Parks,Lorain County,OH,Special district,Q6678732,https://www.loraincountymetroparks.com/
lctabus.com,Luzerne County Transportation Authority,Luzerne County,PA,Special district,Q6706577,http://www.lctabus.com
summitmetroparks.org,Summit Metro Parks,Summit County,OH,Special district,Q6824662,https://www.summitmetroparks.org/
metroparks.net,Columbus and Franklin County Metropolitan Park District,Columbus and Franklin County Metropolitan,OH,Special district,Q6824663,https://www.metroparks.net/
napervilleparks.org,Naperville Park District,Naperville,IL,Special district,Q6964855,https://www.napervilleparks.org/
philapark.org,Philadelphia Parking Authority,Pennsylvania,PA,Special district,Q7182762,http://www.philapark.org
redrosetransit.com,Red Rose Transit Authority,Lancaster County,PA,Special district,Q7304963,https://www.redrosetransit.com/
rivcoparks.org,Riverside County Parks,California,CA,Special district,Q7338468,http://RivCoParks.org
openspaceauthority.org,Santa Clara Valley Open Space Authority,Santa Clara County,CA,Special district,Q7419318,https://www.openspaceauthority.org/
foxvalleyparkdistrict.org,Fox Valley Park District,Fox Valley,IL,Special district,Q8565229,https://www.foxvalleyparkdistrict.org/
metroparks.com,Huron–Clinton Metroparks,Michigan,MI,Special district,Q12060621,https://metroparks.com
washingtonrides.org,Washington County Transportation Authority,Washington County,PA,Special district,Q16986841,http://www.washingtonrides.org/
wheatonparkdistrict.com,Wheaton Park District,Wheaton,IL,Special district,Q17091394,https://wheatonparkdistrict.com/
greatparks.org,Great Parks of Hamilton County,Great Parks of Hamilton,OH,Special district,Q19863721,https://www.greatparks.org/
springfieldparks.org,Springfield Park District,Springfield,IL,Special district,Q23073350,https://www.springfieldparks.org/
chparkdistrict.net,Chicago Heights Park District,Chicago Heights,IL,Special district,Q30286803,https://chparkdistrict.net/
montgomeryparks.org,Montgomery Parks,Montgomery County,MD,Special district,Q61359691,https://montgomeryparks.org/
lakemetroparks.com,Lake Metroparks,Lake County,OH,Special district,Q84833648,https://www.lakemetroparks.com/
ncprd.com,North Clackamas Parks & Recreation District,Clackamas County,OR,Special district,Q108872078,https://ncprd.com/
parks.nv.gov,Nevada State Parks,Nevada,NV,Special district,Q109292599,http://parks.nv.gov/
biparks.org,Bainbridge Island Metro Park & Recreation District,Washington,WA,Special district,Q110062887,https://biparks.org/
cprdnewberg.org,Chehalem Park and Recreation District,Oregon,OR,Special district,Q110063670,https://www.cprdnewberg.org/
crystallakeparks.org,Crystal Lake Park District,Crystal Lake,IL,Special district,Q110064003,https://www.crystallakeparks.org/
fargoparks.com,Fargo Park District,Fargo,ND,Special district,Q110064081,https://www.fargoparks.com/
glenviewparks.org,Glenview Park District,Glenview,IL,Special district,Q110064219,https://glenviewparks.org/
jacksonccb.com,Jackson County Conservation,Jackson County,IA,Special district,Q110064391,http://www.jacksonccb.com/
kvpd.com,Kankakee Valley Park District,Kankakee Valley,IL,Special district,Q110064433,https://www.kvpd.com/
metroparksgolf.net,Louisville Parks and Recreation,Kentucky,KY,Special district,Q110072380,https://www.metroparksgolf.net/
maine.gov,Maine Bureau of Parks and Lands,Maine,ME,Special district,Q110072411,https://www.maine.gov/dacf/parks/
dnr.maryland.gov,Maryland Park Service,Maryland,MD,Special district,Q110072482,https://dnr.maryland.gov/publiclands/Pages/default.aspx
mortongroveparks.com,Morton Grove Park District,Morton Grove,IL,Special district,Q110072677,https://mortongroveparks.com/
niles-parks.org,Niles Park District,Niles,IL,Special district,Q110073017,https://www.niles-parks.org/
plfdparks.org,Plainfield Park District,Plainfield,IL,Special district,Q111209760,https://www.plfdparks.org/
lisleparkdistrict.org,Lisle Park District,Lisle,IL,Special district,Q111212363,https://www.lisleparkdistrict.org/
warrenvilleparks.org,Warrenville Park District,Warrenville,IL,Special district,Q111213006,https://www.warrenvilleparks.org/
woodridgeparks.org,Woodridge Park District,Woodridge,IL,Special district,Q111213095,https://www.woodridgeparks.org/
bolingbrookparks.org,Bolingbrook Park District,Bolingbrook,IL,Special district,Q111214103,https://bolingbrookparks.org/
winfieldparkdistrict.com,Winfield Park District,Winfield,IL,Special district,Q111221769,https://winfieldparkdistrict.com/
jcprd.com,Johnson County Park and Recreation District,Johnson County,KS,Special district,Q111943500,https://www.jcprd.com/
gepark.org,Glen Ellyn Park District,Glen Ellyn,IL,Special district,Q112057709,https://gepark.org/
we-goparks.org,West Chicago Park District,West Chicago,IL,Special district,Q112058771,https://www.we-goparks.org/
dgparks.org,Downers Grove Park District,Downers Grove,IL,Special district,Q112060184,https://www.dgparks.org/
oswegolandparkdistrict.org,Oswegoland Park District,Oswegoland,IL,Special district,Q112134936,https://www.oswegolandparkdistrict.org/
genevaparks.org,Geneva Park District,Geneva,IL,Special district,Q112157564,https://www.genevaparks.org/
yourmetroparks.net,MetroParks of Butler County,MetroParks of Butler,OH,Special district,Q112181319,https://www.yourmetroparks.net/
bataviaparks.org,Batavia Park District,Batavia,IL,Special district,Q112220255,https://bataviaparks.org/
glencoeparkdistrict.com,Glencoe Park District,Glencoe,IL,Special district,Q112220906,https://glencoeparkdistrict.com/
palatineparks.org,Palatine Park District,Palatine,IL,Special district,Q112220961,https://www.palatineparks.org/
pdop.org,Park District of Oak Park,Illinois,IL,Special district,Q112220982,https://pdop.org/
