domain,org,city,state,type,qid,website,lat,lon,enrollment
rps205.com,Rockford Public School District 205,Rockford,IL,School district,Q7355251,https://www.rps205.com/,42.262298,-89.081738,27442
sabinepass.net,Sabine Pass Independent School District,Sabine Pass,TX,School district,Q7396174,https://www.sabinepass.net,29.730351,-93.897532,370
sausd.us,Santa Ana Unified School District,Santa Ana,CA,School district,Q7419174,https://www.sausd.us,33.743162,-117.847419,39935
srcschools.org,Santa Rosa City Schools,Santa Rosa,CA,School district,Q7419877,https://www.srcschools.org,38.449508,-122.72386,
alameda.k12.ca.us,Alameda Unified School District,Alameda,CA,School district,Q4705888,http://www.alameda.k12.ca.us/,37.78215,-122.270091,8830
agsd.us,Alaska Gateway School District,Tok,AK,School district,Q4708548,https://www.agsd.us/,63.333206,-142.958861,386
agisd.com,Alba-Golden Independent School District,Alba,TX,School district,Q4708938,https://www.agisd.com/,32.758039,-95.586251,823
albanyisd.net,Albany Independent School District,Albany,TX,School district,Q4709329,https://www.albanyisd.net/,32.724261,-99.289099,498
albertgallatin.k12.pa.us,Albert Gallatin Area School District,Uniontown,PA,School district,Q4710273,http://www.albertgallatin.k12.pa.us/,39.82982,-79.770561,3046
albionk12.org,Albion Central School District,Albion,NY,School district,Q4712503,https://www.albionk12.org/,43.239154,-78.181008,1782
albion.k12.ok.us,Albion Independent School District,Albion,OK,School district,Q4712524,https://www.albion.k12.ok.us/,34.661165,-95.095994,46
aldenschools.org,Alden Central School District,Alden,NY,School district,Q4713542,https://www.aldenschools.org/,42.904075,-78.496879,1507
aldineisd.org,Aldine Independent School District,Houston,TX,School district,Q4713820,https://www.aldineisd.org/,30.003612,-95.389625,60074
aledoisd.org,Aledo Independent School District,Aledo,TX,School district,Q4714353,https://www.aledoisd.org/,32.711446,-97.617233,7857
kleinisd.net,Klein Independent School District,Klein,TX,School district,Q6420157,https://www.kleinisd.net/,30.04787,-95.533248,53712
pgcps.org,Prince George's County Public Schools,Upper Marlboro,MD,School district,Q7244004,https://www.pgcps.org/,38.815333,-76.759758,131133
svusd.org,Saddleback Valley Unified School District,Mission Viejo,CA,School district,Q7397758,https://www.svusd.org/,33.62153,-117.683901,23711
sbpsb.org,St. Bernard Parish Public Schools,Chalmette,LA,School district,Q7587300,https://www.sbpsb.org/,29.936539,-89.964649,8277
sweenyisd.org,Sweeny Independent School District,Sweeny,TX,School district,Q7655111,http://www.sweenyisd.org/,29.048328,-95.706286,1898
tcjackets.net,Thomas County School District,Thomasville,GA,School district,Q7788639,https://www.tcjackets.net/,30.857834,-83.952677,5727
trschools.org,Three Rivers Community Schools,Three Rivers,MI,School district,Q7797729,http://www.trschools.org/,41.946882,-85.613395,2323
unionnorth.org,Union-North United School Corporation,Lakeville,IN,School district,Q7885314,https://unionnorth.org/,41.477556,-86.304839,1228
vbschools.com,Virginia Beach City Public Schools,Virginia Beach,VA,School district,Q7934131,http://www.vbschools.com/,36.751983,-76.059624,65456
vistausd.org,Vista Unified School District,Vista,CA,School district,Q7936471,https://www.vistausd.org/,33.22621,-117.222131,18818
wcs.k12.mi.us,Warren Consolidated Schools,Warren,MI,School district,Q7970123,http://www.wcs.k12.mi.us/,42.52384,-83.014201,12660
normandysc.org,Normandy Schools Collaborative,Saint Louis,MO,School district,Q7981770,https://www.normandysc.org/,38.70256,-90.292641,2894
westernline.org,Western Line School District,Avon,MS,School district,Q7988024,https://www.westernline.org/,33.235548,-91.045016,1632
