domain,org,city,state,type,qid,website,lat,lon,enrollment
zps.org,Zeeland Public Schools,Zeeland,MI,School district,Q134520335,https://www.zps.org/,42.820074,-86.028465,6010
yadkin.k12.nc.us,Yadkin County Schools,Yadkinville,NC,School district,Q134520355,https://www.yadkin.k12.nc.us/,36.13595,-80.669491,5243
conwayschools.org,Conway Public Schools,Conway,AR,School district,Q134521120,https://www.conwayschools.org/,35.0921,-92.4572,10251
district130.org,Cook County School District 130,Blue Island,IL,School district,Q134522608,https://www.district130.org/,41.669754,-87.68314,2993
sbusd.org,South Bay Union School District,Imperial Beach,CA,School district,Q134522898,https://www.sbusd.org/,32.580036,-117.120141,5859
muncie.k12.in.us,Muncie Community Schools,Muncie,IN,School district,Q134713830,https://www.muncie.k12.in.us/,40.154695,-85.405816,5080
delcomschools.org,Delaware Community School Corporation,Muncie,IN,School district,Q134715851,https://www.delcomschools.org/,40.27918,-85.348889,2594
husdschools.org,Hamilton Unified School District,Hamilton City,CA,School district,Q135254280,https://www.husdschools.org/,39.745508,-122.019438,711
orientsd.org,Orient School District,Orient,WA,School district,Q137735121,https://orientsd.org/,48.86806,-118.204818,41
tekonshaschools.org,Tekonsha Community Schools,Tekonsha,MI,School district,Q125560170,https://www.tekonshaschools.org/,42.089865,-84.989313,185
quincyschools.org,Quincy Community Schools,Quincy,MI,School district,Q125561581,https://quincyschools.org/,41.9397,-84.876701,1149
sturgisps.org,Sturgis Public Schools,Sturgis,MI,School district,Q125568927,https://www.sturgisps.org/,41.801638,-85.419575,2967
fcs.k12.in.us,Fremont Community Schools,Fremont,IN,School district,Q125569251,https://www.fcs.k12.in.us/,41.7312,-84.949071,985
jonesvilleschools.org,Jonesville Community Schools,Jonesville,MI,School district,Q125570113,https://www.jonesvilleschools.org/,41.984128,-84.658331,1273
pennfield.net,Pennfield Schools,Battle Creek,MI,School district,Q125570356,https://www.pennfield.net/,42.370615,-85.133219,1986
pittsfordk12.org,Pittsford Area Schools,Pittsford,MI,School district,Q125570388,https://www.pittsfordk12.org/,41.86358,-84.47184,356
pineriver.org,Pine River Area Schools,Leroy,MI,School district,Q125570427,https://www.pineriver.org/,44.063846,-85.48879,974
athensk12.org,Athens Area Schools,East Leroy,MI,School district,Q125573526,https://www.athensk12.org/,42.167039,-85.21699,503
bronsonschools.org,Bronson Community School District,Bronson,MI,School district,Q125573576,https://www.bronsonschools.org/,41.868085,-85.186203,993
hanoverhorton.org,Hanover-Horton School District,Horton,MI,School district,Q125573747,https://www.hanoverhorton.org/,42.114476,-84.519788,1023
hillsdaleschools.org,Hillsdale Community Schools,Hillsdale,MI,School district,Q125573873,https://www.hillsdaleschools.org/,41.918371,-84.638649,1274
howellschools.com,Howell Public Schools,Howell,MI,School district,Q125574051,https://www.howellschools.com/,42.615225,-83.95142,6871
lelandschool.com,Leland Public School,Leland,MI,School district,Q125581139,https://www.lelandschool.com/,45.024006,-85.755819,450
dowagiacschools.org,Dowagiac Union Schools,Dowagiac,MI,School district,Q125581144,https://www.dowagiacschools.org/,41.981186,-86.109648,1900
lawtoncs.org,Lawton Community Schools,Lawton,MI,School district,Q125581265,https://www.lawtoncs.org/,42.168939,-85.839454,1050
fowlervilleschools.org,Fowlerville Community Schools,Fowlerville,MI,School district,Q125581856,https://www.fowlervilleschools.org/,42.670294,-84.067776,2590
northportps.org,Northport Public Schools,Northport,MI,School district,Q125581948,https://northportps.org/,45.128803,-85.61956,129
saranac.k12.mi.us,Saranac Community Schools,Saranac,MI,School district,Q125581953,https://www.saranac.k12.mi.us/,42.928,-85.2055,852
nvps.net,Northview Public Schools,Grand Rapids,MI,School district,Q125581979,https://nvps.net/,43.042449,-85.619917,3061
litchfieldschools.com,Litchfield Community Schools,Litchfield,MI,School district,Q125582082,https://www.litchfieldschools.com/,42.046316,-84.754737,251
saugatuckpublicschools.com,Saugatuck Public Schools,Douglas,MI,School district,Q125582607,https://saugatuckpublicschools.com/,42.641593,-86.204983,802
sc-aggies.us,Sand Creek Community Schools,Sand Creek,MI,School district,Q125582733,https://www.sc-aggies.us/,41.818395,-84.102779,783
suttonsbay.k12.mi.us,Suttons Bay Public Schools,Suttons Bay,MI,School district,Q125582826,https://www.suttonsbay.k12.mi.us/en-US,44.971167,-85.655376,578
spartaschools.org,Sparta Area Schools,Sparta,MI,School district,Q125583240,https://www.spartaschools.org/,43.1503,-85.704701,2433
atlantaschools.us,Atlanta Community Schools,Atlanta,MI,School district,Q125584155,https://www.atlantaschools.us/,44.99404,-84.148992,267
ags-schools.org,Au Gres-Sims School District,Au Gres,MI,School district,Q125584328,https://www.ags-schools.org/,44.045696,-83.696874,416
autrainonota.com,AuTrain-Onota Public Schools,Deerton,MI,School district,Q125584430,http://www.autrainonota.com/,46.474578,-87.042409,24
badaxeps.org,Bad Axe Public Schools,Bad Axe,MI,School district,Q125584496,https://www.badaxeps.org/,43.80766,-83.015481,887
watersmeetschool.org,Watersmeet Township School District,Watersmeet,MI,School district,Q125584618,https://watersmeetschool.org/,46.270318,-89.179768,150
watervlietps.org,Watervliet Public Schools,Watervliet,MI,School district,Q125584660,https://www.watervlietps.org/,42.187638,-86.250851,1452
baldwin.k12.mi.us,Baldwin Community Schools,Baldwin,MI,School district,Q125584667,https://www.baldwin.k12.mi.us/,43.888465,-85.855877,442
trentonschools.com,Trenton Public Schools,Trenton,MI,School district,Q125584690,https://www.trentonschools.com/,42.14242,-83.201411,2501
wpcschools.org,White Pigeon Community Schools,White Pigeon,MI,School district,Q125584731,https://www.wpcschools.org/,41.803054,-85.636939,733
adamstownshipschools.org,Adams Township School District,Painesdale,MI,School district,Q125567352,https://adamstownshipschools.org,47.040635,-88.668107,466
ioniaschools.org,Ionia Public Schools,Ionia,MI,School district,Q125581799,https://www.ioniaschools.org/,42.953334,-85.069917,2833
mccardinals.org,Michigan Center School District,Michigan Center,MI,School district,Q125604854,https://www.mccardinals.org/,42.22366,-84.33859,1316
westportps.org,Westport Public Schools,Westport,CT,School district,Q130300750,https://www.westportps.org/,41.145154,-73.360017,5387
tcsdk8.org,Tulare City School District,Tulare,CA,School district,Q130300821,https://www.tcsdk8.org/,36.217114,-119.337324,9172
isd622.org,North St. Paul-Maplewood-Oakdale School District,Maplewood,MN,School district,Q131920823,https://www.isd622.org/,45.016149,-92.995065,10368
scsc.school,Silver Creek School Corporation,Sellersburg,IN,School district,Q134292684,https://scsc.school,38.409102,-85.756069,3144
bhsc.school,Borden–Henryville School Corporation,Memphis,IN,School district,Q134444759,https://bhsc.school,38.487228,-85.760982,1716
gpsk12.org,Greenfield Public Schools,Greenfield,MA,School district,Q136907277,https://gpsk12.org/,42.595688,-72.596468,1476
hamlinchargers.com,Hamlin School District 28-3,Hayti,SD,School district,Q137883629,https://hamlinchargers.com/,44.657038,-97.291774,870
swhittier.net,South Whittier Elementary School District,Whittier,CA,School district,Q138820064,https://www.swhittier.net/,33.929398,-118.039164,2317
swhittier.k12.ca.us,South Whittier Elementary School District,Whittier,CA,School district,Q138820064,https://www.swhittier.k12.ca.us/,33.929398,-118.039164,2317
jcs.k12.oh.us,Jackson City Schools,Jackson,OH,School district,Q139920792,https://www.jcs.k12.oh.us/,39.040225,-82.643965,2317
