domain,type,org,city,state
cityofglensfallsny.gov,City,City of Glens Falls,Glens Falls,NY
townofglenville.gov,City,Town of Glenville,Glenville,NY
townofglenvillepd.gov,City,Glenville Police Department,Glenville,NY
cityofgloversvilleny.gov,City,City of Gloversville,Gloversville,NY
goshennyfd.gov,Special district,Goshen Fire District,Goshen,NY
orangecountyny.gov,County,Orange County (NY),Goshen,NY
townofgoshenny.gov,City,Town of Goshen,Goshen,NY
villageofgoshen-ny.gov,City,Village of Goshen,Goshen,NY
fowlerny.gov,City,Town of Fowler,Gouverneur,NY
townofgouverneur.gov,City,Town of Gouverneur,Gouverneur,NY
villageofgouverneurny.gov,City,Village of Gouverneur,Gouverneur,NY
gowanda.gov,City,Village of Gowanda,Gowanda,NY
townofpersiany.gov,City,Town of Persia,GOWANDA,NY
neversinkny.gov,City,Town of Neversink,Grahamsville,NY
grandislandny.gov,City,Town of Grand Island,Grand Island,NY
gvoh-ny.gov,City,Grand View on Hudson,Grand View on Hudson,NY
hartfordny.gov,City,Town of Hartford,Granville,NY
townofgranvilleny.gov,City,Town of Granville,Granville,NY
gnparksny.gov,Special district,Great Neck Park District,Great Neck,NY
lakesuccessny.gov,City,Inc. Village of Lake Success,Great Neck,NY
manhassetlakevillewater.gov,Special district,Manhasset-Lakeville Water District,Great Neck,NY
villageofthomastonny.gov,City,Village of Thomaston,Great Neck,NY
greatneckestates-ny.gov,City,Village of Great Neck Estates,Great Neck Estates,NY
greenburghny.gov,City,Town of Greenburgh,Greenburgh,NY
nygreene.gov,City,Town of Greene,"Greene, New York",NY
townofgreeneny.gov,City,Town of Greene,"Greene, New York",NY
greenfieldny.gov,City,Town of Greenfield,Greenfield Center,NY
greenlawnfd.gov,Special district,Greenlawn Fire District,Greenlawn,NY
villageofgreenport.gov,City,Village of Greenport,Greenport,NY
eastonny.gov,City,Town of Easton,Greenwich,NY
townofgreenwichny.gov,City,Town of Greenwich,Greenwich,NY
villageofgreenwichny.gov,City,Village of Greenwich,Greenwich,NY
greenwoodny.gov,City,Town of Greenwood,Greenwood,NY
villageofgreenwoodlake.gov,City,Village of Greenwood Lake,Greenwood Lake,NY
townofgreig.gov,City,Town of Greig,Greig,NY
grotonny.gov,City,Village of Groton,Groton,NY
towngrotonny.gov,City,Town of Groton,Groton,NY
grovelandny.gov,City,Town of Groveland,Groveland,NY
townofguilderland.gov,City,Town of Guilderland,Guilderland,NY
guilfordny.gov,City,Town of Guilford,Guilford,NY
townofdaynewyork.gov,City,Town of Day,hadley,NY
townofhadleyny.gov,City,Town of Hadley,Hadley,NY
hagueny.gov,City,Town of Hague,Hague,NY
townofhalfmoon-ny.gov,City,Town of Halfmoon,Halfmoon,NY
townofhamburgny.gov,City,Town of Hamburg,Hamburg,NY
hamilton-ny.gov,City,VILLAGE OF HAMILTON,HAMILTON,NY
townofhamiltonny.gov,City,Town of Hamilton,Hamilton,NY
hamlinny.gov,City,Town of Hamlin,Hamlin,NY
townofhammondny.gov,City,Town of Hammond,Hammond,NY
hamptonny.gov,City,Town of Hampton,Hampton,NY
hamptonbaysfd.gov,Special district,Hampton Bays Fire District,Hampton Bays,NY
townofhancockny.gov,City,Town of Hancock,Hancock,NY
townofnewbaltimore.gov,City,Town of New Baltimore,Hannacroix,NY
hannibalny.gov,City,Town of Hannibal,Hannibal,NY
hannibalvillageny.gov,City,Hannibal Village,Hannibal,NY
villageofharriman.gov,City,Village of Harriman,HARRIMAN,NY
harrison-ny.gov,City,Town Of Harrison,Harrison,NY
harrisonpdny.gov,City,Harrison Police Department,Harrison,NY
townofdianany.gov,City,Town of Diana Municipality,Harrisville,NY
hartsdalefire.gov,Special district,Hartsdale Fire District,Hartsdale,NY
hartwickny.gov,City,Town of Hartwick,Hartwick,NY
hohny.gov,City,Village of Hastings-on-Hudson,Hastings-on-Hudson,NY
suffolkcountyny.gov,County,Suffolk County Government,Hauppauge,NY
suffolknyda.gov,County,Suffolk County District Attorney's office,Hauppauge,NY
villageofhaverstraw.gov,City,Village of Haverstraw,Haverstraw,NY
hempsteadny.gov,City,Town of Hempstead,Hempstead,NY
villageofhempsteadpdny.gov,City,Hempstead Village Police Department,Hempstead,NY
villageofhempsteadny.gov,City,Inc. Village of Hemsptead,Hemsptead,NY
townofwindhamny.gov,City,Town of Windham NY,Hensonville,NY
windhamnypolice.gov,City,Town of Windham Police Dept,Hensonville,NY
herkimercountyny.gov,County,Herkimer County,Herkimer,NY
townofoswegatchie.gov,City,Town of Oswegatchie,Heuvelton,NY
hewlettbayparkny.gov,City,Village of Hewlett Bay Park,Hewlett,NY
hewlettneck.gov,City,Village of Hewlett Neck,hewlett,NY
woodsburgh.gov,City,village of woodsburgh,hewlett,NY
hewlettharbor.gov,City,Village of Hewlett Harbor,Hewlett Harbor,NY
hicksvillefdny.gov,Special district,Hicksville Fire District,Hicksville,NY
lloydpolice.gov,City,Town of Lloyd Police Department,Highland,NY
townoflloyd.gov,City,Town of Lloyd,Highland,NY
highlandfallsny.gov,City,Village of Highland Falls,Highland Falls,NY
highlands-ny.gov,City,Town of Highlands,Highland Falls,NY
townofwoodburyny.gov,City,Town of Woodbury,Highland Mills,NY
hiltonny.gov,City,Village of Hilton,Hilton,NY
parmany.gov,City,Town  of Parma,Hilton,NY
townofhinsdaleny.gov,City,Town of Hinsdale,Hinsdale,NY
townofstamfordny.gov,City,"Town of Stamford, NY",Hobart,NY
townofhollandny.gov,City,TOWN OF HOLLAND,Holland,NY
hollandpatentny.gov,City,VILLAGE OF HOLLAND PATENT NY,Holland Patent,NY
holleypolice.gov,City,HOLLEY POLICE DEPARTMENT,Holley,NY
murrayjointfiredistrict.gov,Special district,Murray Joint Fire District,Holley,NY
townofmurrayny.gov,City,Town of Murray,Holley,NY
holtsvillefiredistrict.gov,Special district,Holtsville Fire District,Holtsville,NY
scott-ny.gov,City,Town of Scott NY,Homer,NY
townofhomerny.gov,City,Town of Homer,Homer,NY
villageofhomerny.gov,City,Village of Homer,Homer,NY
richmondny.gov,City,Town of Richmond,Honeoye,NY
townofmendonny.gov,City,Town of Mendon,Honeoye Falls,NY
villageofhoneoyefalls.gov,City,Village of Honeoye Falls,Honeoye Falls,NY
hoosick.gov,City,Town of Hoosick,Hoosick Falls,NY
eastfishkillny.gov,City,Town Of East Fishkill,Hopewell Junction,NY
townofhopkintonny.gov,City,Town of Hopkinton,Hopkinton,NY
cityofhornell.gov,City,The City of Hornell,Hornell,NY
townofhartsvilleny.gov,City,"Town of Hartsville, NY",Hornell,NY
townofhorseheads.gov,City,Town of Horseheads,Horseheads,NY
villageofhorseheads.gov,City,Village of Horseheads,Horseheads,NY
townofdelawareny.gov,City,Town of Delaware,Hortonville,NY
columbiacountyny.gov,County,Columbia County MIS Department,Hudson,NY
greenportfiredistrictny.gov,Special district,Greenport Fire District,hudson,NY
hudsonny.gov,City,City of Hudson,Hudson,NY
livingstonny.gov,City,Town of Livingston,Hudson,NY
stockportny.gov,City,Town of Stockport,Hudson,NY
townofgreenportny.gov,City,Town of Greenport,Hudson,NY
kingsburyny.gov,County,"Town of Kingsbury, New York",Hudson Falls,NY
villageofhudsonfallsny.gov,City,Village of Hudson Falls. New York,Hudson Falls,NY
townofdeerparkny.gov,City,Town of Deerpark,Huguenot,NY
halesitefd.gov,Special district,Halesite Fire District,Huntington,NY
huntingtonny.gov,City,Town of Huntington,Huntington,NY
townofhurleyny.gov,City,Town of Hurley,Hurley,NY
hydeparkny.gov,City,Town of Hyde Park,Hyde Park,NY
rooseveltfiredcny.gov,Special district,Roosevelt Fire District,Hyde Park,NY
ilionny.gov,City,Village of Ilion,Ilion,NY
townofcolumbiany.gov,City,Town Of Columbia,Ilion,NY
inletny.gov,City,Town of Inlet,Inlet,NY
townofcovertny.gov,City,Town of Covert,Interlaken,NY
brantny.gov,City,Town of Brant,Irving,NY
irvingtonny.gov,City,Village of Irvington,Irvington,NY
villageofislandpark.gov,City,Village of Island Park,Island Park,NY
islip-ny.gov,City,Town of Islip,Islip,NY
islipny.gov,City,Town of Islip,Islip,NY
isliptown-ny.gov,City,Town of Islip,Islip,NY
townofislip-ny.gov,City,Town of Islip,Islip,NY
cayugaheights.gov,City,Village of Cayuga Heights,Ithaca,NY
cityofithacany.gov,City,City of Ithaca,Ithaca,NY
tompkinscountyny.gov,County,Tompkins County Information Technology Services,Ithaca,NY
townithacany.gov,City,Town of Ithaca,Ithaca,NY
townofenfieldny.gov,City,Town of Enfield,Ithaca,NY
villageoflansingny.gov,City,Village of Lansing,Ithaca,NY
jamestownny.gov,City,City of Jamestown,Jamestown,NY
jamestownnybpu.gov,City,Jamestown Board of Public Utilities (Jamestown BPU),Jamestown,NY
townofjasperny.gov,City,Town of Jasper,Jasper,NY
jeffersontown-ny.gov,City,Town of Jefferson,Jefferson,NY
jerichofdny.gov,Special district,Jericho Fire District,Jericho,NY
townofjewettny.gov,City,Town of Jewett,Jewett,NY
johnsoncityny.gov,City,Village of Johnson City,Johnson City,NY
fultoncountyny.gov,County,County of Fulton,Johnstown,NY
townofjohnstownny.gov,City,Town of Johnstown,JOHNSTOWN,NY
jordanny.gov,City,Village of Jordan,Jordan,NY
townofkeeneny.gov,City,Town of Keene NY,Keene,NY
chesterfieldny.gov,City,Town of Chesterfield,Keeseville,NY
townofausableny.gov,City,Town of Ausable,Keeseville,NY
townofkendallny.gov,City,Town of Kendall,Kendall,NY
kenmoreny.gov,City,Village of Kenmore,Kenmore,NY
tonawanda.gov,City,Town of Tonawanda,Kenmore,NY
townofpolandny.gov,City,Town of Poland,Kennedy,NY
townofkentny.gov,City,Town of Kent,Kent Lakes,NY
villageofkinderhookny.gov,City,Village of Kinderhook,Kinderhook,NY
villageofkingspoint.gov,City,Village of Kings Point,Kings Point,NY
kingston-ny.gov,City,City of Kingston,Kingston,NY
ulstercountyny.gov,County,County of Ulster,Kingston,NY
ulstersheriffny.gov,County,Ulster County Sheriff's Office,Kingston,NY
townofkirkwood.gov,City,Town of Kirkwood,Kirkwood,NY
lackawannany.gov,City,CIty of Lackawanna,Lackawanna,NY
townoforleansny.gov,City,Town of Orleans,LaFargeville,NY
townoflafayetteny.gov,City,Town of LaFayette,LaFayette,NY
lagrangeny.gov,City,Town of LaGrange,Lagrangeville,NY
unionvaleny.gov,City,Town of Union Vale,LaGrangeville,NY
lakegeorgevillage.gov,City,Village of Lake George,Lake George,NY
townoflakegeorge.gov,City,Town of Lake George,Lake George,NY
warrencountyny.gov,County,Warren County,Lake George,NY
lakegroveny.gov,City,Village of Lake Grove,Lake Grove,NY
ulsterpolice.gov,City,Town of Ulster,Lake Katrine,NY
lakeluzerneny.gov,City,Town of Lake Luzerne,Lake Luzerne,NY
lakepleasantny.gov,City,Town of Lake Pleasant,Lake Pleasant,NY
hamiltoncountyny.gov,County,Hamilton County,Lake Pleasent,NY
lakewoodny.gov,City,Village of Lakewood,Lakewood,NY
townofbustiny.gov,City,Town of Busti,Lakewood,NY
lancasterny.gov,City,Town of Lancaster,Lancaster,NY
lancasternyida.gov,Special district,Lancaster industrial development agency,Lancaster,NY
lancastervillageny.gov,City,Village of Lancaster,Lancaster,NY
lansingtownny.gov,City,Town of Lansing,Lansing,NY
larchmontny.gov,City,Village of Larchmont,Larchmont,NY
townofmamaroneckfd.gov,Special district,Town of Mamaroneck Fire Department,Larchmont,NY
townofcolonie.gov,City,Town of Colonie,Latham,NY
laurensfiredistrictny.gov,Special district,Laurens Fire District,Laurens,NY
townoflaurensny.gov,City,Town of Laurens,Laurens,NY
twnlaurensny.gov,City,Town of Laurens,Laurens,NY
villageoflaurensny.gov,City,Village of Laurens,Laurens,NY
lawrenceny.gov,City,Incorporated Village of Lawrence,Lawrence,NY
townofleeny.gov,City,Town of Lee,Lee Center,NY
townofleicesterny.gov,City,"Town of Leicester, NY",Leicester,NY
townofleroyny.gov,City,Town of LeRoy,LeRoy,NY
townoflewistonny.gov,City,Town of Lewiston,Lewiston,NY
villageoflewistonny.gov,City,Village of Lewiston,Lewiston,NY
townoflibertyny.gov,City,Town of Liberty,Liberty,NY
townoflimany.gov,City,"Town of Lima, NY",Lima,NY
villageoflimany.gov,City,"Village of Lima, NY",Lima,NY
carrolltonny.gov,City,Town Of Carrollton,Limestone,NY
townofbabylonny.gov,City,Town of Babylon,Lindenhurst,NY
villageoflindenhurstny.gov,City,Incorporated Village of Lindenhurst,Lindenhurst,NY
townoflindley.gov,City,Town of Lindley,Lindley,NY
townoflisbonny.gov,City,Town of Lisbon,Lisbon,NY
townofgeneseeny.gov,City,Town of Genesee,Little Genesee,NY
cattco.gov,County,Cattaraugus County,Little Valley,NY
villageoflittlevalley.gov,City,Village of Little Valley,Little Valley,NY
salinany.gov,City,Town of Salina,Liverpool,NY
villageofliverpoolny.gov,City,Village of Liverpool,Liverpool,NY
townofrocklandny.gov,City,Town of Rockland,Livingston Manor,NY
livoniany.gov,City,Town and Village of Livonia NY,Livonia,NY
townoflockeny.gov,City,Town of Locke NY,Locke,NY
elockport.gov,City,Town of Lockport,Lockport,NY
lockportny.gov,City,City of Lockport,Lockport,NY
niagaracounty.gov,County,Niagara County,Lockport,NY
pendletonny.gov,City,Town of Pendleton,Lockport,NY
lattingtown.gov,City,Incorporated Village of Lattingtown,locust valley,NY
lattingtownny.gov,City,Village of Lattingtown,Locust Valley,NY
matinecockvillage.gov,City,Inc. Village of Matinecock,Locust Valley,NY
lbpdny.gov,City,City of Long Beach Police Department,Long Beach,NY
longbeachfdny.gov,City,City of Long Beach Fire Department,Long Beach,NY
longbeachny.gov,City,City of Long Beach,Long Beach,NY
longlakeny.gov,City,Town of Long Lake,Long Lake,NY
lewiscountyny.gov,County,"Lewis County, NY",Lowville,NY
townoflowvilleny.gov,City,Town of Lowville NY,Lowville,NY
townofnewbremen.gov,City,Town of New Bremen,Lowville,NY
townofwatsonny.gov,City,Town of Watson NY,Lowville,NY
villageoflowville.gov,City,Village of Lowville New York,Lowville,NY
lynbrookvillage.gov,City,village of lynbrook,lynbrook,NY
villageoflyndonville.gov,City,Village of Lyndonville,Lyndonville,NY
lyonsfiredistrictny.gov,Special district,Lyons Fire District,Lyons,NY
lyonsny.gov,City,Town of Lyons,Lyons,NY
waynecountyny.gov,County,Wayne County NY,Lyons,NY
lyonsfallsny.gov,City,Village of Lyons Falls New York,Lyons Falls,NY
townofwestturin.gov,City,Town of West Turin,Lyons Falls,NY
macedontown.gov,City,Town of Macedon,Macedon,NY
machiasny.gov,City,"Town of Machias, NY",Machias,NY
villageofmadisonny.gov,City,VILLAGE OF MADISON,MADISON,NY
townofmadridny.gov,City,Town Of Madrid,Madrid,NY
carmelpoliceny.gov,City,Town of Carmel Police Department,Mahopac,NY
townofcarmelny.gov,City,Town of Carmel,Mahopac,NY
townofmaineny.gov,City,Town of Maine,Maine,NY
franklincoswcdny.gov,Special district,Franklin County Soil and Water Conservation District,Malone,NY
franklincountyny.gov,County,County of Franklin,Malone,NY
malonepdny.gov,City,Malone Village Police Department,Malone,NY
malonetownny.gov,City,Town of Malone,Malone,NY
townofmaloneny.gov,City,Town of Malone,Malone,NY
townofwestvilleny.gov,City,Town of Westville,Malone,NY
villageofmaloneny.gov,City,Village of Malone,Malone,NY
townofmaltany.gov,City,Town of Malta,Malta,NY
malvernevillage.gov,City,Incorporated Village of Malverne,Malverne,NY
townofmamaroneckny.gov,City,Town of Mamaroneck,Mamaroneck,NY
townofmamaroneckpd.gov,City,Town of Mamaroneck Police Department,Mamaroneck,NY
villageofmamaroneckny.gov,City,Village of Mamaroneck,Mamaroneck,NY
villageofmanchesterny.gov,City,Village of Manchester,Manchester,NY
manhassetparkdistrictny.gov,Special district,Manhasset Park District,Manhasset,NY
northhempsteadny.gov,City,Town of North Hempstead,Manhasset,NY
plandomeheights-ny.gov,City,Village of Plandome Heights,Manhasset,NY
plandomemanorny.gov,City,Village of Plandome Manor,Manhasset,NY
villageflowerhill.gov,City,VILLAGE OF FLOWER HILL,MANHASSET,NY
manliuspoliceny.gov,City,Town of Manlius Police Department,Manlius,NY
manliusvillageny.gov,City,Village of Manlius,Manlius,NY
pompeyny.gov,City,"Town of Pompey, NY",Manlius,NY
marcelluspdny.gov,City,Marcellus Police Department,Marcellus,NY
townofmarcellusny.gov,City,Town of Marcellus,Marcellus,NY
villageofmarcellusny.gov,City,Village of Marcellus,Marcellus,NY
townofmarilla.gov,City,Town of Marilla,Marilla,NY
marionny.gov,City,Town of Marion,Marion,NY
martinsburgny.gov,City,"Town of Martinsburg, New York",Martinsburg,NY
masspkny.gov,City,INC. VILLAGE OF MASSAPEQUA PARK,Massapequa Park,NY
louisvilleny.gov,City,Town of Louisville,MASSENA,NY
massenany.gov,City,Town of Massena,Massena,NY
masticfd.gov,Special district,Mastic Fire District,Mastic,NY
mattituckparks.gov,Special district,Mattituck Park District,Mattituck,NY
townofmayfieldny.gov,City,Town of Mayfield,Mayfield,NY
chautauquacountyny.gov,County,Chautauqua County,Mayville,NY
mayvilleny.gov,City,Village of Mayville,Mayville,NY
townofchautauqua.gov,City,Town of Chautauqua,Mayville,NY
mcdonoughny.gov,City,Town of McDonough NY,McDonough,NY
villageofmcgraw.gov,City,Village of McGraw,MCGRAW,NY
mechanicvilleny.gov,City,"City of Mechanicville, NY",Mechanicville,NY
townofridgewayny.gov,City,Town of Ridgeway,Medina,NY
townofshelbyny.gov,City,Town of Shelby,MEDINA,NY
villagemedina.gov,City,Village of Medina,Medina,NY
rensselaerville.gov,City,Town of Rensselaerville,Medusa,NY
claverackny.gov,City,"Town of Claverack, NY",Mellenville,NY
mellenvillefireny.gov,Special district,Mellenville Fire District,Mellenville,NY
townofschaghticoke.gov,City,Town of Schaghticoke,Melrose,NY
melrosefireny.gov,Special district,Melrose Fire District,Melrose NY,NY
melvillefdny.gov,Special district,Melville Fire District,Melville,NY
menandsny.gov,City,Village of Menands,Menands,NY
mexicocsd.gov,Special district,Mexico Academy & CSD,Mexico,NY
townofmexicony.gov,City,Town of Mexico,Mexico,NY
villageofmexico.gov,City,Village of Mexico,Mexico,NY
townofprovidenceny.gov,City,Town of Providence,Middle Grove,NY
broometown-ny.gov,City,Town of Broome,Middleburgh,NY
middleburghtown-ny.gov,City,Town of Middleburgh,Middleburgh,NY
villageofmiddleburgh.gov,City,Village of Middleburgh,Middleburgh,NY
middleportny.gov,City,Village of Middleport,Middleport,NY
townofroyaltonny.gov,City,Town of Royalton,Middleport,NY
middletownny.gov,City,City of Middletown,Middletown,NY
villageofmiddlevilleny.gov,City,Village of Middleville,Middleville,NY
milan-ny.gov,City,Town of Milan,Milan,NY
villagemilfordny.gov,City,Village of Milford,Milford,NY
villageofmillbrookny.gov,City,Village of Millbrook,Millbrook,NY
washingtonny.gov,City,Town of Washington,Millbrook,NY
townofnortheastny.gov,City,"Town of North East, NY",Millerton,NY
villageofmillerton-ny.gov,City,Village of Millerton,Millerton,NY
millportny.gov,City,Village of Millport,Millport,NY
townofveteranny.gov,City,TOWN OF VETERAN,MILLPORT,NY
marlboroughpoliceny.gov,City,Town of Marlborough Police Department,Milton,NY
townofmarlboroughny.gov,City,Town of Marlborough,Milton,NY
mineola-ny.gov,City,City of Mineola,Mineola,NY
nassaucountyny.gov,County,Nassau County,Mineola,NY
townofminervany.gov,City,Town of Minerva,Minerva,NY
townofminetto.gov,City,Town of Minetto,Minetto,NY
townofplattekill.gov,City,"Town of Plattekill - Modena, NY",Modena,NY
villageofmohawk.gov,City,Village of Mohawk,Mohawk,NY
townofmoirany.gov,City,Town of Moira,Moira,NY
kiryasjoel.gov,City,Village of Kiryas Joel,Monroe,NY
sbgny.gov,City,Village of South Blooming Grove,Monroe,NY
townofmonroeny.gov,City,Town of Monroe,Monroe,NY
villageofmonroeny.gov,City,Village of Monroe,Monroe,NY
kaser.gov,City,Village of Kaser,Monsey,NY
wesleyhills.gov,City,Village of Wesley Hills,Monsey,NY
montgomeryfiredistrictny.gov,Special district,Montgomery Fire District,Montgomery,NY
townofmontgomeryny.gov,City,Town of Montgomery,Montgomery,NY
villageofmontgomeryny.gov,City,Village of Montgomery,Montgomery,NY
monticellopoliceny.gov,City,Village of Monticello Police Dept,Monticello,NY
sullivanny.gov,County,County of Sullivan,Monticello,NY
thompsonny.gov,City,Town of Thompson,Monticello,NY
villageofmonticellony.gov,City,Village of Monticello,Monticello,NY
townofmontour.gov,City,Town of Montour,Montour Falls,NY
townofmoravia.gov,City,Town of Moravia,Moravia,NY
townofnilesny.gov,City,Town of Niles,Moravia,NY
villageofmoravia.gov,City,Village of Moravia,Moravia,NY
townofmoreauny.gov,City,Town of Moreau,Moreau,NY
schuylerfallsny.gov,City,Town of Schuyler Falls,Morrisonville,NY
townofmorristownny.gov,City,"Town of Morristown, NY",Morristown,NY
mountkiscony.gov,City,Village of Mount Kisco,Mount Kisco,NY
townofmtmorrisny.gov,City,Town of Mount Morris,Mount Morris,NY
villageofmountmorrisny.gov,City,"Village of Mount Morris, NY",Mount Morris,NY
mountvernonny.gov,City,City of Mount Vernon,Mount Vernon,NY
mountvernonnypd.gov,City,City of Mount Vernon Police Department,Mount Vernon,NY
muttontownny.gov,City,Village of Muttontown,Muttontown,NY
blenheimtown-ny.gov,City,Town of Blenheim,N. Blenheim,NY
italyny.gov,City,Town of Italy,Naples,NY
naplesny.gov,City,Village of Naples & Town of Naples,Naples,NY
southbristolny.gov,City,"Town of South Bristol, NY",Naples,NY
townoftusten.gov,City,Town of Tusten,narrowsburgh,NY
townofnassau.gov,City,Town of Nassau,Nassau,NY
nelsonvilleny.gov,City,Village of Nelsonville,Nelsonville,NY
townofnewberlinny.gov,City,Town of New Berlin NY,New Berlin,NY
villageofnewberlinny.gov,City,Village of New Berlin NY,New Berlin,NY
clarkstown.gov,City,Town Of Clarkstown,New City,NY
rocklandcountyny.gov,County,County of Rockland,New City,NY
rocklandsheriffny.gov,County,Rockland County Sheriff's Office,New City,NY
townofnewhartfordny.gov,City,Town of New Hartford,New Hartford,NY
villageofnewhartford.gov,City,Village of New Hartford,New Hartford,NY
villagenhpny.gov,City,Incorporated Village of New Hyde Park,New Hyde Park,NY
townofnewlebanonny.gov,County,Town of New Lebanon,New Lebanon,NY
newpaltzpolice.gov,City,Town of New Paltz Police Department,New Paltz,NY
townofnewpaltzny.gov,City,Town of New Paltz,New Paltz,NY
villageofnewpaltz.gov,City,Village of New Paltz,New Paltz,NY
newrochelleny.gov,City,City of New Rochelle,New Rochelle,NY
newsquare-ny.gov,City,Village of New Square,New Square,NY
newwindsor-ny.gov,City,Town of New Windsor,New Windsor,NY
wcnyh.gov,Special district,Waterfront Commission of New York Harbor,New York,NY
villageofnewarkny.gov,City,Village of Newark,Newark,NY
townofnewarkvalley.gov,City,Town of Newark Valley,Newark Valley,NY
cityofnewburgh-ny.gov,City,City of Newburgh,Newburgh,NY
cronomerfire.gov,Special district,Cronomer Valley Fire District,Newburgh,NY
orangelakefiredistrict.gov,Special district,Orange Lake Fire District,Newburgh,NY
townofnewburghny.gov,City,Town of Newburgh,Newburgh,NY
newcombny.gov,City,Town of Newcomb,Newcomb,NY
townofnewfaneny.gov,City,Town of Newfane,Newfane,NY
townofnewportny.gov,City,Town of Newport,Newport,NY
villageofnewportny.gov,City,Village of Newport,Newport,NY
niagarafallsny.gov,City,City of Niagara Falls,Niagara Falls,NY
niagarafallsnycarts.gov,City,"City of Niagara Falls, NY",Niagara Falls,NY
townofniagarany.gov,City,Town of Niagara,Niagara Falls,NY
townofnicholsny.gov,City,Town of Nichols,Nichols,NY
villageofnicholsny.gov,City,Village of Nichols,Nichols,NY
niskayuna.gov,City,Town of Niskayuna,Niskayuna,NY
townofbangorny.gov,City,Town of Bangor,North Bangor,NY
viennany.gov,City,Town of Vienna,North Bay,NY
townofnorthcollinsny.gov,City,Town of North Collins,North Collins,NY
johnsburgny.gov,City,Town of Johnsburg,North Creek,NY
townofnorthhudsonny.gov,City,Town of North Hudson,North Hudson,NY
townofjavany.gov,City,TOWN OF JAVA,north java,NY
roseny.gov,City,Town of Rose,North Rose,NY
northsalemny.gov,City,Town of North Salem,North Salem,NY
northsyracuseny.gov,City,Village of North Syracuse,North Syracuse,NY
northsyracusepoliceny.gov,City,Village of North Syracuse Police Department,North Syracuse,NY
northtonawanda.gov,City,City of North Tonawanda,North Tonawanda,NY
wheatfield-ny.gov,City,Town of Wheatfield,North Tonawanda,NY
eatonsneckfd.gov,Special district,Eaton's Neck Fire District,Northport,NY
northportny.gov,City,"Incorporated Village of Northport, NY",Northport,NY
townofnorthamptonny.gov,City,Town of Northampton,Northville,NY
chenangocountyny.gov,County,Chenango County NY,Norwich,NY
norwichnewyork.gov,City,City of Norwich New York,Norwich,NY
townofnorwichny.gov,City,Town of Norwich,Norwich,NY
norwoodny.gov,City,Village of Norwood New York,Norwood,NY
townofnundany.gov,City,"Town of Nunda, NY",Nunda,NY
villageofnunda.gov,City,Village of Nunda,Nunda,NY
fairfieldny.gov,City,Town of Fairfield,NY,NY
nyack.gov,City,Village of Nyack,Nyack,NY
townofalabamany.gov,City,Town of Alabama,Oakfield,NY
villageofoakfieldny.gov,City,Village of Oakfield,Oakfield,NY
villageofoceanbeach.gov,City,Inc Village of Ocean Beach,Ocean Beach,NY
ogdensburgny.gov,City,City of Ogdensburg,Ogdensburg,NY
ogdensburgpdny.gov,City,City of Ogdensburg,Ogdensburg,NY
oldbrookville.gov,City,Village of Old Brookville,Old Brookville,NY
townofwebbny.gov,City,Town of Webb,Old Forge,NY
villageofoldwestbury.gov,City,Inc. Village of Old Westbury,Old Westbury,NY
cityofolean.gov,City,City of Olean,Olean,NY
portvilleny.gov,City,The Town of Portville,Olean,NY
oneidacityny.gov,City,City of Oneida,Oneida,NY
cityofoneontany.gov,City,City of Oneonta,Oneonta,NY
townofonondaga.gov,City,Town of Onondaga,Onondaga,NY
ontariotown.gov,City,Town of Ontario,Ontario,NY
orangetown.gov,City,Town of Orangetown,Orangeburg,NY
orchardparkfiredistrict.gov,Special district,Orchard Park Fire District,Orchard Park,NY
orchardparkny.gov,City,Town of Orchard Park,Orchard Park,NY
orchardparkvillageny.gov,City,Village of Orchard Park,Orchard Park,NY
oriskany.gov,City,Village of Oriskany,Oriskany,NY
ossiningpoliceny.gov,City,Ossining Police Department,Ossining,NY
townofossiningny.gov,City,Town Of Ossining,Ossining,NY
villageofossiningny.gov,City,The Village of Ossining,Ossining,NY
newhavenny.gov,City,Town of New Haven,Oswego,NY
oswegocountyny.gov,County,Oswego County Central Services,Oswego,NY
oswegony.gov,City,City of Oswego,Oswego,NY
scribany.gov,City,Town of Scriba,Oswego,NY
townofoswego.gov,City,Town of Oswego,Oswego,NY
townofotegony.gov,City,Town of Otego,Otego,NY
villageofotego.gov,City,Village of Otego,Otego,NY
mounthopeny.gov,City,Town Of Mount Hope,Otisville,NY
villageofotisvilleny.gov,City,Village of Otisville,Otisville,NY
townofovidny.gov,City,Town of Ovid,Ovid,NY
tiogacountyny.gov,County,Tioga County,Owego,NY
villageofowegony.gov,City,Village of Owego,Owego,NY
townofoxfordny.gov,City,Town of Oxford NY,Oxford,NY
villageofoxfordny.gov,City,Village of Oxford NY,Oxford,NY
centreisland.gov,City,Inc. Village of Centre Island,Oyster Bay,NY
centreislandpdny.gov,City,Centre Island Police Department,Oyster Bay,NY
coveneck.gov,City,Inc. Village of Cove Neck,Oyster Bay,NY
obwdny.gov,Special district,OYSTER BAY WATER DISTRICT,Oyster Bay,NY
oysterbay-ny.gov,City,Town of Oyster Bay,Oyster Bay,NY
oysterbaycove.gov,City,"Oyster Bay Cove, Village of",Oyster Bay,NY
oysterbaytown.gov,City,Town of Oyster Bay,Oyster Bay,NY
erwinny.gov,City,"Town of Erwin, NY",Painted Post,NY
villageofpaintedpost.gov,City,Village of Painted Post,Painted Post,NY
